,measurement_no,specimen_no,measurement_type,average,reid_no,is_type,specimen_part,identified_name,identified_no,difference,accepted_name_x,accepted_no,max_ma,min_ma,reference_no,accepted_name_y,class,order,family,genus,diet,_merge
0,26382,13134,length,0.137,19690,holotype,pubis,Futalognkosaurus dukei,109005,,Futalognkosaurus dukei,109005,93.5,85.8,25429,Futalognkosaurus,Saurischia,,,Futalognkosaurus,herbivore,both
1,36186,18564,length,207.0,0,neither,femur,Coelophysis bauri,55477,,Coelophysis bauri,54212,,,34423,Coelophysis,Saurischia,,,Coelophysis,carnivore,both
2,36187,18564,circumference,47.0,0,neither,femur,Coelophysis bauri,55477,,Coelophysis bauri,54212,,,34423,Coelophysis,Saurischia,,,Coelophysis,carnivore,both
3,36188,18565,length,551.0,0,neither,femur,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
4,36189,18565,circumference,185.0,0,neither,femur,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
5,36190,18566,length,608.0,0,neither,tibia,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
6,36191,18566,circumference,132.0,0,neither,tibia,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
7,36192,18567,length,517.0,0,neither,fibula,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
8,36193,18567,circumference,57.0,0,neither,fibula,Dilophosaurus wetherilli,57251,,Dilophosaurus wetherilli,55479,,,34423,Dilophosaurus,Saurischia,,,Dilophosaurus,carnivore,both
9,36194,18568,length,519.0,0,neither,femur,Elaphrosaurus bambergi,55481,,Elaphrosaurus bambergi,55481,155.7,150.8,34423,Elaphrosaurus,Saurischia,,,Elaphrosaurus,carnivore,both
